Site,Stratum,Genus,Species,LifeForm,LeafHabit,LL,nLL,Aarea,Amass,Rarea,Rmass,Narea,Nmass,Parea,Pmass,LMA,LT,LD,CellPerVol
SL,understory,Garcinia,madruno,tree,evergreen,572,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Guarea,kunthiana,tree,evergreen,304,200,15.05,0.1648,1.045,0.01144,2.076,0.0227,0.178,0.00195,91.34,0.29,0.314974496,0.045
SL,canopy,Guatteria,amplifolia,tree,evergreen,272,199,5.58,NA,1.07,NA,NA,NA,NA,NA,NA,0.20375,NA,NA
SL,canopy,Guatteria,dumetorum,tree,evergreen,211.5,118,17.5,0.2384,0.514,0.007,1.538,0.021,0.08,0.0011,73.42,0.2,0.367079004,0.056
SL,understory,Guatteria,dumetorum,tree,evergreen,639,219,3.985,0.1033,0.4685,0.01215,0.798,0.0207,0.051,0.00131,38.56,0.15375,0.250818812,0.048
SL,canopy,Havetiopsis,flexilis,hemiepiphyte,evergreen,552.5,82,14.975,0.0899,0.9795,0.00588,1.29,0.0077,0.089,0.00054,166.63,0.455,0.366230278,0.048
SL,canopy,Heisteria,scandens,liana,evergreen,335,60,7.618,0.1112,0.8235,0.01202,1.276,0.0186,0.068,0.00099,68.49,0.17,0.402854491,0.034
SL,understory,Heisteria,scandens,liana,evergreen,968,50,2.547,0.0807,0.631,0.01998,0.561,0.0178,0.029,0.00093,31.58,NA,NA,NA
SL,canopy,Hippocratea,volubilis,liana,evergreen,491,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Hiraea,quapara,liana,evergreen,146,55,7.186,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA
SL,canopy,Humiriestrum,diguense,tree,evergreen,400,103,8.802,NA,2.7633,NA,NA,NA,NA,NA,NA,0.30375,NA,NA
SL,canopy,Inga,cocleensis,treelet,evergreen,219.5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205,NA,NA
SL,canopy,Inga,goldmanii,tree,evergreen,402,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA
SL,canopy,Inga,multijuga,tree,evergreen,339,22,6.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,understory,Inga,multijuga,tree,evergreen,588,32,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Inga,pezizifera,tree,evergreen,222,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA
SL,canopy,Lacmella,panamensis,tree,evergreen,572,62,10.383,0.1302,0.841,0.01055,0.919,0.0115,0.051,0.00064,79.74,0.31875,0.250171117,0.023
SL,understory,Lacmella,panamensis,tree,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA
SL,canopy,Licania,hypoleuca,tree,evergreen,211,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA
SL,understory,Licania,hypoleuca,tree,evergreen,1368,88,4.387,0.1123,0.1223,0.00313,0.703,0.018,0.022,0.00058,39.06,NA,NA,NA
SL,canopy,Lonchocarpus,longifolium,tree,deciduous,285,33,17.45,0.1385,0.519,0.00412,2.651,0.021,0.101,0.0008,125.99,0.24,0.524951,0.075
SL,canopy,Manilkara,bidentata,tree,evergreen,427,138,14.175,0.0951,0.7075,0.00474,1.949,0.0131,0.105,0.00071,149.13,0.3875,0.384849355,0.054
SL,understory,Manilkara,bidentata,tree,evergreen,1855,25,4.231,0.0667,NA,NA,0.615,0.0097,0.033,0.00052,63.43,0.2275,0.278811312,NA
SL,canopy,Mansoa,kerekere,NA,NA,295,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA
SL,understory,Mansoa,kerekere,NA,NA,134.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL,canopy,Maranthes,panamensis,tree,evergreen,473,64,9.128,NA,1.5711,NA,NA,NA,NA,NA,NA,0.2875,NA,NA
