"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"mu2[20]",2.25845916945934,0.00221675091812765,0.103282940068591,2.0610077763654,2.18923523249691,2.25787307611354,2.32565892388733,2.45227873826968,2170.81788118183,0.999564638864894
"mu2[21]",1.70582875295745,0.0024708746395863,0.10200394869806,1.51492853912481,1.63850039858572,1.70180245295234,1.77041171296869,1.91208547211447,1704.24702466991,1.00001326608263
"mu2[22]",2.33336854498287,0.00224297584536501,0.100062310303855,2.15277971418118,2.27109368424449,2.32801996605773,2.38992732282946,2.54907491529157,1990.17771308699,1.00037507160915
"mu2[23]",3.04054346883748,0.00210448135121087,0.0983448770653292,2.85213382886549,2.97745916881992,3.03965563372429,3.10188481640387,3.22952834627118,2183.80230641797,1.00142264660451
"mu2[24]",2.4327979297782,0.00361987426919414,0.112016709879243,2.2222583663839,2.35569016237651,2.43168485036253,2.50504374267637,2.65791385314824,957.587906406895,0.999790169616933
"mu2[25]",3.27010946254718,0.00170713631144862,0.0935037066516574,3.07911731259379,3.20900200009963,3.27114492610595,3.33334658577211,3.45091403299079,3000,1.00024004679091
"mu2[26]",2.91217039757303,0.0031225245683763,0.0992627170131683,2.71955073149194,2.84352740429482,2.9121822322533,2.97746128360984,3.10630321360516,1010.55647416038,1.00134945741946
"mu2[27]",2.24641648035972,0.00264458157822863,0.117051462118804,2.05549799954601,2.17179007737635,2.2326156313378,2.30161801308294,2.5262319700635,1959.02396647553,0.999867273819105
"mu2[28]",1.52815927689263,0.00265245074403577,0.145280710517975,1.29150110075446,1.43320778553982,1.50641083912363,1.60131766032626,1.88667158282946,3000,1.00004418510952
"mu2[29]",2.07621668038569,0.00209306922136914,0.114642122696365,1.86184510659674,2.00302689905357,2.0720481715257,2.14529270804289,2.31324145404973,3000,0.999809444755839
"mu2[30]",2.51295417679022,0.00221211444880077,0.0856791326978209,2.35196586143021,2.45717485762392,2.5103659024472,2.56570354265875,2.68424247654809,1500.15087063536,1.00050522111386
"mu2[31]",2.18460921931229,0.00389568921728448,0.143717210086179,1.99083979662587,2.09017086565708,2.15839129088208,2.24545839668166,2.54681309864899,1360.97124421417,0.999565156630953
"mu2[32]",1.47261721741791,0.00235055558855743,0.128745231852274,1.25015208413922,1.38833800843081,1.46151010932577,1.54070139618369,1.76879723864139,3000,0.99982218720511
"mu2[33]",1.43134469538147,0.00363473776561347,0.148377560917413,1.19482488221101,1.33222784781683,1.41188093551363,1.50740246713384,1.78208949525644,1666.44232942135,1.00022357363131
"mu2[34]",2.17472105081952,0.00395130967709977,0.137997601209513,1.96879420002357,2.08327733118845,2.1533138184691,2.24477678227365,2.52586610186229,1219.72222743269,1.00195205806883
"mu2[35]",3.26749772837937,0.00138968108488303,0.0761159677928688,3.11815412284961,3.21651222717501,3.26907758001599,3.31838858549042,3.41881841421982,3000,1.00000863246906
"mu2[36]",1.69867567833701,0.00453818527636166,0.130487291568147,1.44476670024286,1.61212249809827,1.69615182703779,1.78390767650085,1.96079271553303,826.745783898154,1.00029277208778
"mu2[37]",2.12326735174294,0.00354531260697639,0.127036880560386,1.90803613903356,2.04085581742449,2.11579796961176,2.18890822147587,2.41510337406095,1283.95727352923,1.00024682395678
"mu2[38]",2.4544479376702,0.00305702538323395,0.10042543150446,2.26189037066066,2.38667270946746,2.45350681162611,2.51943716388101,2.64563789568794,1079.16865699785,1.0001814766336
"mu2[39]",2.25483553426163,0.00358910612817479,0.13607565729453,2.06346615876824,2.16529477494413,2.23145915910203,2.31250005857962,2.59537304562603,1437.43521686018,1.00378505749497
"mu2[40]",1.51954745184114,0.0025502184649664,0.13968121798283,1.29649090217685,1.4300736459219,1.50407371804151,1.58764445498174,1.86337884561358,3000,1.00078070798169
"mu2[41]",1.47672930718458,0.00415034640880096,0.173494543571237,1.21704621421463,1.36107756649073,1.44844577383305,1.56632954762961,1.89044722315704,1747.44271761632,0.999798430086559
"mu2[42]",2.02343683528411,0.00271833565221624,0.126709341357819,1.80184494428635,1.94236301121452,2.01482518422789,2.09331521584464,2.31448118968062,2172.75673402501,0.999075164432539
"mu2[43]",2.15129360865676,0.0050811634413945,0.169723403283603,1.91549571106897,2.03200361944871,2.117555454091,2.23194006493183,2.57236902604842,1115.72492147116,1.00206014135191
"mu2[44]",3.49675263263051,0.00274788570366921,0.150507898534558,3.20260564811255,3.39530969435016,3.49127649038333,3.59605174406269,3.80016918255296,3000,1.00004405387984
"mu2[45]",2.41330050670774,0.00147646045768854,0.070562745155861,2.27848278625385,2.36627733002702,2.41121490632402,2.45628742460295,2.55584572065061,2284.05888270124,1.00019042777753
"mu2[46]",3.12142482488351,0.00163834509121852,0.0897358563438245,2.94096473695763,3.06311098726346,3.12246833425587,3.18176799537467,3.2952836062033,3000,0.99997905044275
"mu2[47]",2.21042467051384,0.00287194063065045,0.113660969978505,1.99375657436315,2.13697127013305,2.20869047213784,2.28544387575078,2.43463813281096,1566.28864791472,0.999985726223633
"mu2[48]",2.19856545052099,0.00275885824282255,0.115312209714724,2.01825866466744,2.1213327960607,2.18441567577358,2.25839018792666,2.48074470548168,1746.99562475753,1.00418788508368
"mu2[49]",2.30217932097274,0.00241144176512584,0.100258052244011,2.10520614173936,2.23562357034028,2.30065322443256,2.37130192783433,2.4975635251569,1728.56203178827,1.00078871569099
"mu2[50]",1.73506138799438,0.00364707005196261,0.10759587225194,1.52792236559945,1.66425991300052,1.73312108491936,1.80452118499251,1.95374347921268,870.368191329479,1.00119168651451
"mu2[51]",3.40643685832541,0.00159229664233847,0.0872136789248516,3.2288618233481,3.35009736602241,3.4085436197805,3.46475605547044,3.57537109471222,3000,1.00001623770891
"mu2[52]",2.34832546982652,0.00223292378545035,0.0867718115667142,2.18243078931252,2.29112226985541,2.34873415118044,2.403057995985,2.51627550753715,1510.11328813229,1.00020676829007
"mu2[53]",2.26015996911697,0.00213377020319911,0.0950644781079735,2.08136557358649,2.1959502531608,2.25970806625544,2.3252566647992,2.44332874269263,1984.91194044469,1.0005823278384
"mu2[54]",1.57082316598709,0.0104450017502274,0.178410724230025,1.34066052468134,1.4729586526717,1.5391611187263,1.61844692432927,2.12264523663579,291.759414094804,1.00632984679874
"mu2[55]",1.3768663642406,0.00237448576148821,0.130055941404192,1.16922871761676,1.28691771694088,1.36051685799353,1.44867302615427,1.67824029196155,3000,0.999660572877036
"mu2[56]",2.2274702187542,0.0039845234749367,0.137189644094512,2.03324300147527,2.13569757390213,2.20387514940335,2.28993176340711,2.57696722773376,1185.46811979022,1.00255529622576
"mu2[57]",1.50575636306631,0.00246797757273448,0.135176698800352,1.25740385124886,1.41739976618372,1.49903467196244,1.58297139854092,1.79663216912447,3000,1.00024988777869
"mu2[58]",2.1654200093908,0.00483661308637495,0.173616068196225,1.92525648335211,2.05098834002838,2.12945365475205,2.23748254237341,2.62363970143734,1288.53773144481,1.00113361166677
"mu2[59]",2.07255111920913,0.00601906330212902,0.176605637572625,1.81760968173891,1.94923455538644,2.03985649238879,2.16120052495521,2.49952564756256,860.897217751335,0.999880008009638
"mu2[60]",2.25647378083036,0.00248006061780727,0.105745573072846,2.08148474615517,2.18679096483093,2.24511614033761,2.30915186280353,2.51528073333783,1818.02477930426,1.00019944274617
"mu2[61]",1.55364712710783,0.00268116444472555,0.128194748621567,1.31836369903387,1.47219736649973,1.54924716836289,1.62278262420244,1.84506621545592,2286.09128007372,1.00079659980425
"mu2[62]",2.43220440589284,0.00303439746815587,0.10042175141938,2.23683265265824,2.36704768722841,2.43161174119923,2.49423488187116,2.62371895515217,1095.24340888766,1.00083748490901
"mu2[63]",1.44622307926768,0.00309743063336561,0.126114082519746,1.24363480208141,1.36148402945118,1.42880826811412,1.51295717305387,1.73675991841835,1657.76891215444,1.00136428126597
"mu2[64]",2.22475490853182,0.0030445490528881,0.125224396644423,2.03435913705751,2.14255416799573,2.20533196536598,2.28499011440801,2.54301537978661,1691.73348047621,0.999565717466697
"mu2[65]",2.10542462866508,0.00466409204732682,0.155954801689807,1.88116022843399,1.99774071580322,2.07922831778047,2.18100657060795,2.47938974110764,1118.05527773618,0.999473239413785
"mu2[66]",3.09590444498984,0.00174964459591104,0.0958319812797488,2.8987461501094,3.03218905765861,3.09691182334257,3.1598416376195,3.28550538663331,3000,0.9998985774124
"mu2[67]",1.39619324528579,0.00524739652046136,0.17962767290743,1.13207040985612,1.27147713660284,1.36039480750584,1.47801565677719,1.83824539426358,1171.81410499541,1.00060422731206
"mu2[68]",2.37769514442227,0.00358830280932817,0.118911509107042,2.16737131508784,2.30260362171172,2.37125085076196,2.439644604162,2.64695942395027,1098.17009084733,1.00128061734551
"mu2[69]",2.36882763370392,0.00183650360971905,0.0815573758176417,2.21989156382267,2.31698387037372,2.36458050235735,2.41571772579291,2.53181544128256,1972.16348920332,1.00079487490346
"mu2[70]",3.64166601018614,0.00371100984303201,0.203260380215234,3.27706258799461,3.50330390150586,3.62479705218297,3.77009737318524,4.07803588395605,3000,0.999959294716262
