sp,site,strata,SLA_LEAF,SLA_DISC,LIFETIME,Amass,Rmass,Amax,N_PCT,P_PCT,LT,LAMTUF,MDRBTUF,VEINTUF,LMA_LEAF,LMA,LL,Aarea,Aarea_DISC,Rarea,Rarea_DISC,sp_site_strata,Narea,Parea,LD,SampleID,Run,BagNo,%NPE,%WS,%AS,Lig,%Ash,%NDF,ADF,site2,cell_mass,cell_area,cell_vol
FORV,PNSL,CAN,74.46374252,69.37264655,305,86.68820691,8.86118536,11.64166667,1.551,0.0798,0.32,0.4267,3.0579,3.0422,134.29354557775724,144.14903419884016,10.027397260273972,11.641666665722136,12.496021302505724,1.1900000000161153,1.277331311500902,FORV_PNSL_CAN,0.20828928919110148,0.01071662493710502,0.45046573187137545,NA,3,50,59,8.11,12.92,19.89,0.08,41,32.89,WET,13,18.739374445849226,0.05856054514327882
GOUL,PNM,CAN,253.8095238,270.1239596,92,240.9921429,12.30075167,9.495,3.396,0.17882,0.19,0.35960000000000003,1.4943,2.2376,39.39962476695684,37.02004077982574,3.0246575342465754,9.495000002044842,8.921538957775592,0.4846450001495177,0.4553743284459096,GOUL_PNM_CAN,0.13380112570858543,0.00704544090082722,0.19484231989381967,NA,3,51,60.45,16.42,13.7,9.28,0.16,39.55,23.13,DRY,13.85,5.127275648005865,0.02698566130529402
GUA?,PNSL,CAN,99.76420005,109.4779388,304,150.1451211,10.4253589,15.05,2.273,0.19458,0.29,0.3891,4.195600000000001,5.7359,100.23635728034888,91.34260390368254,9.994520547945204,15.05000000248085,13.71464632470775,1.044999999476265,0.9522794285564316,GUA?_PNSL_CAN,0.22783724009823303,0.01950399039961028,0.314974496219595,NA,3,52,58.21,7.75,14.13,19.76,0.14,41.79,34.04,WET,14.279999999999998,13.043723837445864,0.04497835806015816
GUAD,PNSL,CAN,127.4428699,136.2104601,211.5,223.0250223,6.550563513,17.5,2.095,0.10961,0.2,1.012425,2.005975,NA,78.46653177103319,73.41580075904905,6.953424657534247,17.499999998038337,16.37356060145927,0.5140000000109853,0.4809148657299045,GUAD_PNSL_CAN,0.16438738406031456,0.00860071654742294,0.3670790037952452,NA,3,54,57.84,11.48,14.54,15.53,0.6,42.16,30.68,WET,15.15,11.12249381499593,0.05561246907497965
GUAD,PNSL,UNDER,290.2665374,259.3132863,639,115.6712152,13.59898728,3.985,2.069,0.1312,0.15375,1.084675,4.072975,5.7954666669999995,34.45109480952522,38.563392345546774,21.008219178082193,3.9850000015881952,4.460674454843773,0.46850000009680753,0.5244230819807398,GUAD_PNSL_UNDER,0.07127931516090769,0.00451998363900971,0.25081881200355627,NA,3,53,56.02,11.43,17.59,13.47,1.48,43.98,32.55,WET,19.08,7.3578952595303235,0.04785622933027853
HAVF,PNSL,CAN,57.61182318,60.0114826,552.5,86.27370521,5.64307808,14.975,0.774,0.05365,0.455,0.5632,3.216225,NA,173.57548239284867,166.63477665855902,18.16438356164383,14.974999999644172,14.37619959917471,0.9794999999165104,0.9403330555276102,HAVF_PNSL_CAN,0.13434742337206487,0.00931232463037633,0.36623027837045935,NA,3,56,61.95,7.38,13.03,17.58,0.06,38.05,30.67,WET,13.090000000000003,21.812492264605385,0.04793954343869314
HEIS,PNSL,CAN,129.5667019,146.0168144,335,98.69743517,10.6698179,7.6175,1.863,0.09943,0.17,0.37515,5.754675,4.5745249999999995,77.18032375106709,68.4852634341542,11.013698630136986,7.617499999820556,6.759319847892807,0.8234999998869308,0.7307252896759541,HEIS_PNSL_CAN,0.14378694314823798,0.0076740395905686,0.4028544907891424,NA,3,58,69.88,15.43,8.39,6.21,0.09,30.12,14.69,WET,8.48,5.807550339216276,0.03416206081891927
LACP,PNSL,CAN,113.9312682,125.4043606,572,118.2891392,9.581619652,10.3825,1.152,0.06384,0.31875,0.717425,1.60095,NA,87.77221703918504,79.74204367499483,18.805479452054794,10.38249999924077,9.432617704363944,0.8409999996822646,0.7640579327669729,LACP_PNSL_CAN,0.10111359402914116,0.00560337833578157,0.2501711174117485,NA,3,59,50.28,18.14,9.1,22.45,0.03,49.72,31.58,WET,9.13,7.280448587527028,0.02284062301969263
LONL,PNSL,CAN,69.70933298,79.37248752,285,121.6427861,3.617914382,17.45,2.104,0.07998,0.24,0.515625,3.92375,5.07725,143.45281431496494,125.98823991096708,9.36986301369863,17.450000007158298,15.325560518605249,0.5190000000484871,0.4558146651367541,LONL_PNSL_CAN,0.30182472131868626,0.01147335608891089,0.5249509996290294,NA,3,61,59.05,13.46,14.2,13.12,0.16,40.95,27.49,WET,14.37,18.104510075205965,0.07543545864669153
LUE1,PNM,CAN,95.65074329,101.188022,186,147.8601073,34.29079147,15.45833333,1.763,0.1544,0.2275,0.680725,2.90895,3.354125,104.54701820435795,98.82592625439402,6.115068493150685,15.458333329591422,14.612412059996588,3.585000000055933,3.3888192290190235,LUE1_PNM_CAN,0.18431639309428305,0.01614205961075287,0.43439967584349015,NA,3,62,59.02,9.08,15.89,15.97,0.03,40.98,31.89,DRY,15.92,15.73308745969953,0.06915642839428364
