sp,DE,GF,LL,LMA,Aarea,Rarea,LMAp,LMAs,LMAp_lo,LMAs_lo,LMAp_up,LMAs_up
Acomastylis rosii,U,H,1.99526231496888,83.1763771102671,10.7151930523761,1.73780082874938,103.425031803579,18.28558529207625,67.26108727553267,15.52476098844178,6787703617449017e157,4914500833064174e84
Adenanthos cygnorum,E,S,39.8107170553497,234.422881531992,13.8038426460288,1.02329299228075,62.84917266919341,65.00502498508972,107121.221136318,655345.0735761333,48220231917100715e99,1276894000600512e102
Aextoxicon punctatum,E,T,43.6515832240166,134.896288259165,5.62341325190349,0.501187233627272,31.77995773329028,93.21268059402823,65.4545554642293,440161030.04520196,30255201086910498e66,19510908853474517e142
Agropyron repens,U,G,1.86653157185913,58.3067937859553,16.6283625282055,0.861050814079229,114.39795944811408,14.059539271530618,580740924.5993855,11.907842258332625,11553980143951486e171,24685456699935698e41
Ambrosia artemisiifolia,U,H,1.47910838816821,77.6247116628692,27.5422870333817,1.54881661891248,117.43857474223893,12.483612909841284,5664804931650.173,10.168705588945066,11723807293799305e172,6181953139733022e19
Anacardium excelsum,E,T,8.51138038202377,83.1763771102671,10.471285480509,2.18776162394955,59.19764262977756,69.6489919941599,243258.3341911679,3646383.191805974,13798178251112327e89,34380632677280275e108
Andersonia heterophylla,E,S,10.7151930523761,257.039578276886,8.51138038202377,3.09029543251359,49.76156791725164,69.4855803276987,30.89110157310639,6161.390529920071,3311677092217022e112,4314751344018269e121
Andropogon gerardi,U,G,1.69941645950975,73.3508020162128,21.9832449870616,0.881574438779143,120.74801709539179,8.92963453743966,4373083128338.0625,4.6896710338787875,5306237621301733e177,58929764014546466e12
Anemone cylindrica,U,H,2.08929613085404,93.3254300796991,15.4881661891248,1.38038426460288,117.45801934712091,11.762117741373906,7293794382.88337,7.5477298494355844,15699357900561263e170,17213549672069746e28
Antirrhoea trichantha,D,T,5.75439937337157,93.3254300796991,19.4984459975805,1.69824365246174,79.8011624995241,48.357114713509475,40524793.26683229,8294.518209537966,6071438149996486e122,566119143559103e81
Arctostaphylos uva-ursi,E,S,18.1970085860998,128.824955169313,4.36515832240166,0.676082975391982,10.624038768702624,115.78222979436867,3.579476590186752,154915860792.04083,1848049405624066e36,1865921993037898e172
Asclepias syriaca,U,H,1.41253754462275,63.0957344480193,18.1970085860998,1.51356124843621,114.57151127694782,14.976961970667176,839528570080.9146,13.647607755076182,10327428348647981e169,1052460866112107e31
Astroloma xerophyllum,E,S,8.7096358995608,223.872113856834,9.77237220955811,1.58489319246111,76.65666026474499,32.12893832785194,15.774385840680397,44.737540382859734,41583916073518123e126,300131775370748e121
Astrotricha floccosa,E,S,6.16595001861482,83.1763771102671,11.7489755493953,0.707945784384138,81.20358624844289,39.90934761720337,816.0002765322071,190.4738846571729,7207199379311671e129,22169873660475395e94
Atriplex canescens,U,H,7.07945784384138,251.188643150958,16.9824365246174,3.09029543251359,94.73577042577253,28.05992707333047,570739.1995234272,81.97277024732026,15866834119416557e150,1402730591001658e76
Atriplex stipitata,E,S,6.30957344480193,83.1763771102671,19.4984459975805,3.01995172040202,70.56965689956456,59.575962182311386,12603065.33738699,538262.1836532094,11233609420273818e104,11893009897068195e91
Austrocedrus chilensis,E,T,28.8403150312661,194.984459975805,7.58577575029184,1.20226443461741,43.41264567026205,83.64580521113919,341.8613106605594,9641552.193444895,27964575999044694e79,4708402952752747e126
