sp,DE,GF,LL,LMA,Aarea,Rarea,Narea,Parea,LMAp,LMAs,LMAp_lo,LMAp_up,LMAs_lo,LMAs_up,id
Agropyron repens,NA,G,1.866531571859127,58.306793785955335,16.62836252820555,0.8610508140792286,1.284018367003239,NA,50.3413321321958,7.965461653759533,38.83447618213696,55.83489767077758,2.4718961151777563,19.472317603818375,gl_15
Ambrosia artemisiifolia,NA,H,1.4791083881682074,77.62471166286916,27.542287033381665,1.5488166189124817,1.990673338987187,NA,69.81806526288997,7.806646399979186,59.069465539489215,75.16774399240498,2.4569676704641807,18.555246123379945,gl_16
Anacardium excelsum,E,T,8.511380382023766,83.17637711026708,10.471285480508996,2.1877616239495525,1.3963683610559376,NA,36.679451907897516,46.49692520236957,11.260540618344198,61.39091399097017,21.785463119296914,71.91583649192289,gl_17
Andersonia heterophylla,E,S,10.715193052376064,257.03957827688646,8.511380382023766,3.0902954325135905,2.4322040090738155,NA,135.0854797015848,121.95409857530166,25.939200449727654,217.54814599021478,39.49143228667168,231.1003778271588,gl_18
Andropogon gerardi,NA,G,1.6994164595097452,73.35080201621284,21.983244987061564,0.8815744387791431,1.0381484898974491,NA,66.64018154462184,6.710620471591,56.94131622147098,71.34637582360665,2.0044261926061893,16.40948579474186,gl_19
Anemone cylindrica,NA,H,2.0892961308540396,93.3254300796991,15.488166189124811,1.3803842646028848,1.5595525028269537,NA,81.64278030842492,11.682649771274185,65.07270532520953,89.56664339213039,3.7587866875687155,28.252724754489577,gl_20
Antirrhoea trichantha,D,T,5.7543993733715695,93.3254300796991,19.498445997580458,1.6982436524617444,1.9230917289101583,NA,62.44466811091448,30.880761968784626,30.9366148028936,82.22556007095241,11.099870008746691,62.3888152768055,gl_21
Arctostaphylos uva-ursi,E,S,18.19700858609983,128.82495516931337,4.36515832240166,0.6760829753919817,1.5703628043335525,NA,13.215794929718408,115.60916023959496,1.0060819657428324,61.92563098819658,66.89932418111678,127.81887320357053,gl_22
Asclepias syriaca,NA,H,1.4125375446227544,63.09573444801933,18.19700858609983,1.5135612484362082,1.7619760464116292,NA,54.918884961161574,8.176849486857755,44.10916163469814,60.380357462067906,2.7153769859514227,18.98657281332119,gl_23
Astroloma xerophyllum,E,S,8.709635899560805,223.872113856834,9.772372209558108,1.5848931924611136,2.1877616239495525,NA,154.93824909536872,68.93386476146529,42.44344393467806,204.52504659970646,19.34706725712755,181.42866992215596,gl_24
Astrotricha floccosa,E,S,6.165950018614822,83.17637711026708,11.748975549395295,0.7079457843841379,1.3061708881318417,0.05847900841444806,54.67939299761422,28.49698411265286,15.939789906617637,74.4809647708621,8.695412339404982,67.23658720364945,gl_25
Atriplex canescens,NA,H,7.079457843841379,251.18864315095797,16.982436524617444,3.0902954325135905,5.284452517751804,NA,191.04475063023168,60.1438925207263,113.28481583815022,229.84549580652148,21.34314734443649,137.90382731280775,gl_26
Atriplex stipitata,E,S,6.309573444801933,83.17637711026708,19.498445997580458,3.019951720402016,2.41546083444494,0.10990058394325213,47.45507290532609,35.72130420494099,20.436841340831034,68.38874014115257,14.787636969114516,62.739535769436046,gl_27
Austrocedrus chilensis,E,T,28.84031503126606,194.98445997580455,7.585775750291837,1.202264434617413,2.137962089502232,NA,53.93117452222861,141.05328545357594,9.218179409818076,126.30677025410571,68.67768972169884,185.76628056598648,gl_28
Baccharis angustifolia,NA,T,2.51188643150958,95.49925860214358,18.620871366628677,1.6595869074375609,1.8578044550916983,NA,80.60470602640589,14.894552575737691,61.18985115940651,90.37720361664691,5.122054985496675,34.309407442737076,gl_29
Banksia attenuata,E,T,29.512092266663856,281.8382931264455,26.302679918953817,1.8197008586099832,2.312064790175594,NA,162.62672975684805,119.21156336959743,69.59471724936624,233.05281736581986,48.785475760625616,212.24357587707925,gl_30
Banksia marginata,E,S,36.30780547701014,169.82436524617444,19.498445997580458,0.9772372209558108,1.4454397707459274,0.039174187710778297,78.22796970136835,91.59639554480609,27.508766295899353,126.40331915447464,43.42104609169979,142.31559895027507,gl_31
Banksia menziesii,E,T,38.01893963205613,323.5936569296281,18.620871366628677,1.8197008586099832,2.5882129151530915,NA,161.33889236504479,162.2547645645833,58.55803399767802,252.4820497066078,71.11160722302029,265.03562293195006,gl_32
