"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Astrotricha floccosa","E","S",6.16595001861482,83.1763771102671,11.7489755493953,0.707945784384138,41.3837727008607,41.7926044094064,8.29406554663562,1.30617088813184,0.0584790084144481,"Evergreen"
"Atriplex canescens","U","H",7.07945784384138,251.188643150958,16.9824365246174,3.09029543251359,208.668236372855,42.5204067781028,8.23008918051102,5.2844525177518,NA,"Unclassified"
"Atriplex stipitata","E","S",6.30957344480193,83.1763771102671,19.4984459975805,3.01995172040202,57.2107254175454,25.9656516927217,5.47936091037347,2.41546083444494,0.109900583943252,"Evergreen"
"Austrocedrus chilensis","E","T",28.8403150312661,194.984459975805,7.58577575029184,1.20226443461741,46.0912191340418,148.893240841763,27.2852188400737,2.13796208950223,NA,"Evergreen"
"Baccharis angustifolia","U","T",2.51188643150958,95.4992586021436,18.6208713666287,1.65958690743756,82.3234355320508,13.1758230700928,2.87228258027758,1.8578044550917,NA,"Unclassified"
"Banksia attenuata","E","T",29.5120922666639,281.838293126445,26.3026799189538,1.81970085860998,146.246489556376,135.591803570069,24.4650413110455,2.31206479017559,NA,"Evergreen"
"Banksia marginata","E","S",36.3078054770101,169.824365246174,19.4984459975805,0.977237220955811,52.3541402932503,117.470224952924,22.0559180399072,1.37089298639213,0.0388472817278212,"Evergreen"
"Banksia menziesii","E","T",38.0189396320561,323.593656929628,18.6208713666287,1.81970085860998,142.44541311274,181.148243816888,31.8901107361512,2.58821291515309,NA,"Evergreen"
"Baptisia leucophaea","U","H",3.46736850452532,93.3254300796991,14.7910838816821,3.38844156139203,76.3267271773945,16.9987029023046,3.66190026040365,3.38064836205982,NA,"Unclassified"
"Bellucia grossularioides","U","T",8.31763771102671,128.824955169313,14.1253754462275,1,75.30747258909,53.517482580223,10.2828720471904,2.16271852372702,NA,"Unclassified"
"Bertya cunninghamii","E","S",16.2181009735893,169.824365246174,7.07945784384138,1.81970085860998,72.2490664600745,97.5752987860995,18.1446798198627,3.23593656929628,0.143879857825585,"Evergreen"
"Beyeria opaca","E","S",14.7910838816821,158.489319246111,5.75439937337157,1.44543977074593,55.5095692323754,102.979750013736,19.0967078257267,2.7478941531024,0.119398810446427,"Evergreen"
"Bistorta bistortoides","U","H",1.99526231496888,83.1763771102671,11.2201845430196,2.34422881531992,72.9152450001298,10.2611321101373,2.30960232170896,3.22106879128343,NA,"Unclassified"
"Boronia ledifolia","E","S",19.4984459975805,158.489319246111,8.7096358995608,1.09647819614319,46.9851859256828,111.504133320428,20.8889702600134,1.89670592121115,0.0350751873952568,"Evergreen"
"Bossiaea eriocarpa","E","S",16.2181009735893,199.526231496888,18.6208713666287,1.86208713666287,116.184629690454,83.3416018064336,15.6399385541601,3.81065823393773,NA,"Evergreen"
"Bossiaea walkeri","E","S",56.2341325190349,316.227766016838,11.2201845430196,2.57039578276886,112.432841477128,203.79492453971,35.9301271374555,3.85478357665772,0.12050359403718,"Evergreen"
"Brachychiton populneus","E","T",13.1825673855641,128.859107517529,8.59273731128364,0.708133465496963,32.8931284007155,95.9659791168135,18.207376830318,2.13318107592515,0.114414167081038,"Evergreen"
"Bromus inermis","U","G",1.99526231496888,56.2341325190349,8.7096358995608,0.758577575029184,43.5745483415331,12.6595841775018,2.70385821589426,0.889201117857948,NA,"Unclassified"
"Callitris glaucophylla","E","T",30.9029543251359,234.422881531992,6.30957344480193,0.977237220955811,34.3741121882528,200.048769343739,35.7992895373059,NA,NA,"Evergreen"
"Calytrix flavescens","E","S",27.5422870333817,239.883291901949,14.4543977074593,1.81970085860998,108.254648507,131.628643394949,23.9003925084279,2.44906324184475,NA,"Evergreen"
"Cassinia laevis","E","S",10,128.824955169313,6.91830970918936,1.77827941003892,66.8133521239003,62.0116030454127,11.9086662502613,2.40436280000693,0.134896288259165,"Evergreen"
