"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","site_strata","p_mid","LMAp","LMAs","p_rand","LMAp_rand","LMAs_rand","LL_rand","Aarea_rand","Rarea_rand","preLL","preLL_rand"
"ANOR","PNSL","CAN",115.3770233,115.8018854,268,119.8767272,12.09728089,10.39,1.398,0.08659,0.26,0.6628,4.42,7.2265,86.6723695410159,86.3543798571003,8.81095890410959,10.389999999246,10.3518804366548,1.04849999973955,1.0446531892131,"ANOR_WET_CAN",0.12116797261834,0.00750496047855657,0.332132230219617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.630404487108688,54.4381885434041,31.9161913136962,0.415151738528994,42.021958993526,44.3324208635743,10.586301369863,10.9300000031579,0.357999999932513,10.4025340118209,15.6295034776572
"ANTT","PNM","CAN",147.1279109,145.6775126,180,138.9623118,22.06918664,9.445,2.014,0.14252,NA,NA,NA,NA,67.9680690008357,68.6447744852557,5.91780821917808,9.44499999693804,9.53903655546079,1.50000000033984,1.51493433997582,"ANTT_DRY_CAN",0.136887690967683,0.0096868091939991,NA,NA,1,8,56.68,8.89,14.11,20.33,0,43.32,34.44,"DRY",14.11,9.68577767986958,NA,"DRY_CAN",0.685087279355059,47.0276617940454,21.6171126912103,0.472814962282831,15.8103461660557,52.8344283192,5.03013698630137,14.37500000053,1.19000000001612,5.80168173455708,3.72001714088792
"APEM","PNSL","CAN",100.3403481,103.5598562,220,200.6806963,6.86829683,20,1.978,0.11044,0.2325,1.052825,2.708475,3.2975,99.6608063391799,96.5625133805468,7.23287671232877,20.0000000099661,19.3782324216862,0.684500000254633,0.663220004548442,"APEM_WET_CAN",0.197129074938898,0.011006539452099,0.4153226381959,NA,1,9,48.54,19.78,15.59,16.05,0.04,51.46,31.69,"WET",15.64,15.1023770927175,0.0649564606138388,"WET_CAN",0.627309228825088,60.574555802163,35.9879575783838,0.399526303638403,18.6755253255818,77.886988054965,7.56164383561644,14.9749999996442,0.645500000238542,8.09733544845746,6.32294527523613
"ARIC","PNM","CAN",127.1428571,113.2548111,173,154.4785714,15.21437662,12.15,2.624,0.14685,0.29,0.4461,1.8813,3.3323,78.6516854197702,88.2964697293994,5.68767123287671,12.1500000018483,13.639912503461,1.19663636377415,1.34337574467951,"ARIC_DRY_CAN",0.206382022541477,0.0115500000038933,0.304470585273791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRY",NA,NA,NA,"DRY_CAN",0.680047837739075,60.0458233194717,28.2506464099277,0.380221318536639,21.7437473873876,66.5527223420118,8.51506849315068,12.8249999991287,0.468500000096808,6.3753992607886,7.16473969786871
"ARRP","PNM","CAN",124.4482899,132.9092239,153,136.0219809,11.92836859,10.93,2.531,0.11156,0.21,0.2868,2.8084,2.8234,80.3546598192347,75.2393227991756,5.03013698630137,10.9300000031579,10.2342017287184,0.958500000247894,0.897482374810557,"ARRP_DRY_CAN",0.203377644002483,0.00896436584943382,0.358282489519884,NA,1,11,68.5,11.66,9.35,10.25,0.24,31.5,19.84,"DRY",9.59,7.21545105644094,0.0343592907449568,"DRY_CAN",0.654643726792344,49.2549506785845,25.9843721205911,0.633339629146895,34.5160399809756,40.7232828181999,9.13972602739726,4.48666666742418,1.04149999977168,5.92476813574648,10.0263465522905
"ARRV","PNSL","CAN",117.5579211,135.911336,225,117.0289105,2.33940263,9.955,2.069,0.08438,0.15,0.4699,3.22685,4.886275,85.0644508377581,73.5773798883119,7.3972602739726,9.95500000382365,8.61068060577375,0.199000000009357,0.172127116019226,"ARRV_WET_CAN",0.175998348783322,0.00717773836169003,0.490515865922079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,"WET_CAN",0.238097080383319,17.5185593336614,56.0588205546505,0.798218446273788,152.113906960459,-78.536527072147,3.51780821917808,16.4924999952394,0.720499999826405,12.3193757377971,14.3594217679046
"ASPC","PNSL","CAN",63.88633754,72.58641712,337,82.09394374,6.318358783,12.85,1.5675,0.07182,0.36625,0.6996,3.664275,NA,156.527989943685,137.766821903718,11.0794520547945,12.8500000001722,11.3098217266024,0.989000000046019,0.870460209181351,"ASPC_WET_CAN",0.245357624236727,0.0112418402377555,0.376155145129604,NA,1,13,62.45,10.34,12.5,14.72,0,37.55,27.21,"WET",12.49,17.2070760557743,0.0469817776266876,"WET_CAN",0.598177486790248,82.4090112894457,55.3578106142723,0.395365064707316,15.3327857483801,122.434036155338,12,11.3499999993839,0.690999999781333,15.2526797392196,6.14316594029532
"ASPC","PNSL","UNDER",136.8954496,176.6541353,1342,52.65911627,1.635216145,3.846666667,1.289,0.07364,0.188333,0.5346,4.403833333,6.47135,73.0484470391045,56.6077889035412,44.1205479452055,3.84666666597514,2.98091613765919,0.119449999965521,0.0925659703478224,"ASPC_WET_UNDER",0.0941594482334057,0.00537928763995966,0.300572862448648,NA,1,24,54.55,5.48,20.49,19.48,0,45.45,39.97,"WET",20.49,11.5989359463356,0.0615873795157279,"WET_UNDER",0.0593394535365444,3.35907525944819,53.248713644093,0.384502453099007,34.8803750921986,21.7274138113426,19.6931506849315,13.7999999997227,0.788999999837487,30.8689159253053,13.2723477774917
"ASTG","PNM","CAN",136.8332879,116.2074414,271,206.9603479,10.20776327,15.125,3.123,0.19669,0.13,0.5417,3.1908,4.827,73.0816320609658,86.0530089943104,8.90958904109589,15.1249999964373,17.8095606793043,0.745999999463581,0.878408744485101,"ASTG_DRY_CAN",0.228233936926396,0.0143744262100714,0.661946223033157,NA,1,14,69.69,12.39,9.58,8.34,0,30.31,17.92,"DRY",9.58,8.24387826165494,0.0634144481665764,"DRY_CAN",0.499835447240664,43.0123442370761,43.0406647572343,0.406267645461743,24.2024409636551,61.8505680306553,5.32602739726027,14.6000000016714,0.484645000149518,6.72605838028259,6.78189971270733
"ASTG","PNM","UNDER",277.2232845,317.6323744,278,124.380847,10.43191219,4.486666667,2.692,0.1825,0.08,0.4049,1.4134,4.3196,36.0720060655655,31.4829368980091,9.13972602739726,4.48666666742418,3.91587435742192,0.376299999793127,0.328427233203342,"ASTG_DRY_UNDER",0.0971058403285024,0.00658314110696571,0.393536711225114,NA,1,15,68.92,12.57,10.95,7.35,0.2,31.08,18.51,"DRY",11.16,3.51349575781782,0.0439186969727227,"DRY_UNDER",0.339094854375514,10.6757019027439,20.8072349952652,0.633631043285021,50.5270343274667,-19.0440974294576,4.93150684931507,13.8250000017414,1.39000000018467,10.1295300951863,7.95048706587987
