"sp","site","strata","SLA.leaf","SLA.disc","LL","Amass","Rmass","Amax","LMA.leaf","LMA","Aarea","Aarea.disc","Rarea","Rarea.disc","sp.site.strata","site2","sp_site_strata","site_strata","LMAp","LMAs","preLL","LMA_ra","LMAp_ra","LMAs_ra","preLL_ra","LMA_all","LMAp_all","LMAs_all","LL_all","Aarea_all","Rarea_all","preLL_all","LMAp_pot","LMAs_pot","preLL_pot","LMAp_pot_all","LMAs_pot_all","preLL_pot_all","ADF","NPE","Lig","LT","LD","Narea","Parea","LAMTUF","MDRBTUF","VEINTUF","cell_mass","cell_area","cell_vol"
"SIMA","PNSL","CAN",117.9171817,51.71352591,8.31780821917808,169.5059487,12.20442831,14.375,84.8052832999485,193.37300684938,14.37500000053,32.7778749789757,1.03500000034346,2.36000699918239,"SIMA.PNSL.CAN","WET","SIMA_WET_CAN","WET_CAN",154.763951163761,38.6090556856184,14.0857510769128,38.7813368379696,24.1193326823788,14.6620041555909,7.81898341478665,31.5754381539941,13.399074320258,18.1763638337361,4.14246575342466,14.37500000053,1.03500000034346,11.764376914488,84.4289611843824,108.944045664997,10.6323910699704,22.8631351553353,8.71230299865887,8.8184348939967,23.4,64.53,8.38,0.3875,0.499027114450012,0.0949819172959423,0.00482033230276907,0.658775,3.7041,NA,15.02,29.0446256287768,0.0749538725903918
"SYMG","PNSL","CAN",114.512664,120.4027412,7.56164383561644,80.33063381,4.804378819,7.015,87.3265859922707,83.0545874648243,7.01500000122257,6.67182765187741,0.419550000076847,0.399025700836785,"SYMG.PNSL.CAN","WET","SYMG_WET_CAN","WET_CAN",39.030579488593,44.0240079762313,14.3491132309631,81.0351241348623,32.0436811441011,48.9914429907612,12.1271015562814,38.9737266806065,30.6593051153512,8.3144215652553,27.1561643835616,7.01500000122257,0.419550000076847,6.82837574036834,20.0063516965654,63.0482357682588,10.0726956653427,14.1653791274584,24.8083475531481,9.05864367470064,26.04,58.98,15.71,0.385,0.215726201207336,0.136054820975958,0.00737560345290718,0.615975,4.30395,NA,10.33,8.57953888511635,0.0222845165847178
"TACV","PNSL","CAN",99.7285911,105.1360113,9.36986301369863,154.8286377,7.140567123,15.525,100.272147532625,95.1148885748151,15.5250000017297,14.7265086230259,0.716000000024065,0.679174246265133,"TACV.PNSL.CAN","WET","TACV_WET_CAN","WET_CAN",61.7776358858689,33.3372526889462,8.89307806828835,51.3868469033464,24.1222893347286,27.2645575686177,7.85289611445531,47.1895532706985,32.3388439253147,14.8507093453839,11.0794520547945,15.5250000017297,0.716000000024065,6.06061877158287,65.3363989197509,29.7784896550641,9.00921489294366,24.3719931855861,22.8175600851124,8.98235845602681,36.89,53.74,19.89,0.205,0.46397506621861,0.272038336256011,0.00926915731791582,1.50995,5.517225,4.028075,17,16.1695310577186,0.0788757612571637
"TAPG","PNSL","CAN",72.1324154,92.62785994,10.586301369863,99.54273325,2.546274263,13.8,138.633926848927,107.958879828137,13.7999999997227,10.7465219767011,0.352999999914047,0.274892917168696,"TAPG.PNSL.CAN","WET","TAPG_WET_CAN","WET_CAN",55.8036248444179,52.1552549837194,12.4297615734204,125.988239910967,33.5697975212616,92.4184423897055,9.0462127894251,84.5692958323713,69.9734035356621,14.5958922967092,7.23287671232877,13.7999999997227,0.352999999914047,6.32020083730668,58.5820722641024,49.376807564035,9.61002104659532,18.153543429296,66.4157524030754,8.98313028472822,30.78,65.82,24.98,0.20625,0.523436993106121,0.192839792246857,0.0105999500468689,0.315575,2.26175,2.9356,5.8,6.26161503003197,0.030359345600155
"TOCP","PNSL","CAN",96.6554878,116.4257315,7.03561643835616,70.94512805,6.258442835,7.34,103.460240361024,85.8916656237629,7.34000000049661,6.09359521610564,0.647499999994827,0.537548079309255,"TOCP.PNSL.CAN","WET","TOCP_WET_CAN","WET_CAN",49.3239779439511,36.5676876798118,13.1271623889068,86.5625158882793,44.5325734886858,42.0299423995935,11.6922726995313,60.6718361570752,40.1648427041501,20.5069934529251,8.05479452054795,7.34000000049661,0.647499999994827,2.08595526492189,24.4505473757821,61.4411182479808,9.93779582727105,30.6446873643768,30.0271487926984,8.97344967662719,23.16,70.31,18.31,0.2125,0.40419607352359,0.206092798799159,0.0107671072143717,0.452425,2.976675,2.967525,4.85,4.1657457827525,0.0196035095658941
"TONR","PNSL","CAN",85.75755441,100.6719403,17.9013698630137,144.930267,10.98125484,16.9,116.607802878692,99.332544601805,16.9000000054922,14.396292210929,1.2804999997434,1.09079598617809,"TONR.PNSL.CAN","WET","TONR_WET_CAN","WET_CAN",50.7740006972466,48.5585439045584,10.7407407054618,67.5017190932808,40.0221122443115,27.4796068489693,7.79287779676289,41.8432712490352,26.0774425519478,15.7658286970873,25.7095890410959,16.9000000054922,1.2804999997434,16.758513118119,75.7273190084022,23.6052255934028,8.90848939877919,31.670718110373,10.1725531386622,9.09190636081841,30.32,63.13,18.72,0.30375,0.327020722968905,0.194735030807416,0.0112818049285135,0.381375,4.424825,4.962625,11.6,11.5225751738094,0.037934403864393
"TOVL","PNSL","CAN",66.71821086,88.02177073,4.17534246575342,55.92654026,8.179652652,8.3825,149.884115162857,113.608257560215,8.38250000098999,6.35371679030979,1.22600000008453,0.929276085241509,"TOVL.PNSL.CAN","WET","TOVL_WET_CAN","WET_CAN",98.6668179812168,14.9414395789978,8.99646276656258,104.278614473566,70.3098358774841,33.9687785960823,10.1618678603683,73.1534502573897,21.2306915819484,51.9227586754413,4.17534246575342,8.38250000098999,1.22600000008453,9.04682030706335,32.5319673952807,81.0762901649339,10.0377656881171,55.0681537361578,18.085296521232,8.81392349713641,25.01,67.29,15.3,0.37,0.307049344757337,0.220779301634888,0.0118528358270787,0.617775,4.256625,3.716,9.71,11.0313618090968,0.0298144913759374
"TRAA","PNSL","CAN",80.68440409,105.9424447,1.11780821917808,63.63982373,11.21513217,7.8875,123.939689618894,94.3908744820573,7.88750000049731,6.00701861375868,1.39000000018467,1.05860613295815,"TRAA.PNSL.CAN","WET","TRAA_WET_CAN","WET_CAN",93.0754608258225,1.31541365623484,2.49776701999963,85.8916656237629,58.3973069331029,27.49435869066,8.74067104878917,98.825926254394,22.8534305004321,75.9724957539619,21.0082191780822,7.88750000049731,1.39000000018467,9.54846047012297,21.918110480775,72.4727640012823,9.20297482007972,75.5794201495544,23.2465061048397,9.11646893163915,NA,NA,NA,0.291667,0.323625485509356,0.203385030664605,0.00847499597613995,0.975533333,5.703866667,4.3401,NA,NA,NA
"VIR2","PNSL","CAN",90.62197497,110.3313068,11.6712328767123,71.26059001,12.75957408,7.8635,110.34851097993,90.6361058346497,7.86349999915479,6.45878237798594,1.40800000046611,1.15647810671993,"VIR2.PNSL.CAN","WET","VIR2_WET_CAN","WET_CAN",48.3983966588232,42.2377091758265,14.8022300974314,190.566764863116,123.779552943946,66.7872119191704,12.253797606539,39.0559453139279,21.6817645229101,17.3741807910177,42.8712328767123,7.86349999915479,1.40800000046611,7.82699445850331,41.758452985011,48.8776528496387,9.58810066857589,32.4025077784384,6.6534375354895,9.25672686666162,30.45,62.68,20.15,0.3625,0.25003063678524,0.180088769919246,0.0132638910197876,0.898525,1.8908,3.0368,10.3,9.33551890096892,0.0257531555888798
"VIR3","PNSL","CAN",76.05936217,74.4479852,17.1945205479452,101.5392485,2.479535207,13.35,131.476253740454,134.321969535315,13.350000000401,13.6389518436558,0.326000000033921,0.333056052536395,"VIR3.PNSL.CAN","WET","VIR3_WET_CAN","WET_CAN",47.3519757828605,86.9699937524548,18.3593966001984,84.3966720420707,22.1991124528998,62.1975595891709,9.04280902217392,44.2913385783178,20.4819917581286,23.8093468201892,4.24109589041096,13.350000000401,0.326000000033921,4.50674649434886,69.2193973032822,65.102572232033,10.0597754437889,10.4144971513823,33.8768414269355,8.9452633788814,35.47,55.66,22.77,0.3125,0.429830302513009,0.206154765865032,0.0132791016277858,0.39475,2.22825,3.034525,12.7,17.058890130985,0.0545884484191521
