"sp","DE","GF","BIOME","LL","LMA","Aarea","Rarea","LMAp1","LMAs1","LMAp4","LMAs4","LMA_ra","LMAp1_ra","LMAs1_ra","LMA_all","LMAp1_all","LMAs1_all","LL_all","Rarea_all","Aarea_all","LMAp4_all","LMAs4_all","LMAp4_ra","LMAs4_ra","Narea","Parea"
"Astrotricha floccosa","E","S","TEMP_FOR",6.16595001861482,83.1763771102671,11.7489755493953,0.707945784384138,53.318677907674,29.8576992025931,56.0546038226861,27.1217732875809,138.038426460289,79.0024169907734,59.0360094695152,263.026799189538,154.633907932241,108.392891257298,4.78630092322638,0.91201083935591,10,116.370231634515,146.656567555023,79.0024169907734,59.0360094695152,1.30617088813184,0.0584790084144481
"Atriplex canescens","U","H","WLAND",7.07945784384138,251.188643150958,16.9824365246174,3.09029543251359,181.151230780004,70.0374123709539,177.052931175751,74.1357119752065,309.029543251359,221.043204575379,87.9863386759799,158.489319246111,68.3932095080667,90.0961097380447,27.5422870333817,1.20226443461741,12.8824955169313,73.064320568633,85.4249986774785,221.043204575379,87.9863386759799,5.2844525177518,NA
"Atriplex stipitata","E","S","WLAND",6.30957344480193,83.1763771102671,19.4984459975805,3.01995172040202,55.0076732119884,28.1687038982787,37.1619865249419,46.0143905853252,239.883291901949,186.105216923417,53.7780749785321,128.824955169313,27.0633640364968,101.761591132817,33.1131121482591,1.77827941003892,3.54813389233576,56.800633493943,72.0243216753704,186.105216923417,53.7780749785321,2.41546083444494,0.109900583943252
"Austrocedrus chilensis","E","T","TEMP_FOR",28.8403150312661,194.984459975805,7.58577575029184,1.20226443461741,54.3830993521529,140.601360623652,58.3747735859158,136.609686389889,83.1763771102671,31.3907334249318,51.7856436853353,79.4328234724281,53.9124805168365,25.5203429555916,4.46683592150963,1.25892541179417,6.76082975391982,38.1340811008694,41.2987423715587,31.3907334249318,51.7856436853353,2.13796208950223,NA
"Baccharis angustifolia","U","T","WLAND",2.51188643150958,95.4992586021436,18.6208713666287,1.65958690743756,79.7486685190498,15.7505900830938,77.0172025620725,18.4820560400711,77.6247116628692,69.9565622727768,7.66814939009231,154.881661891248,87.3897812292653,67.4918806619828,11.7489755493953,2.18776162394955,10.6100922715098,67.8483703306142,87.0332915606339,69.9565622727768,7.66814939009231,1.8578044550917,NA
"Banksia attenuata","E","T","WLAND",29.5120922666639,281.838293126445,26.3026799189538,1.81970085860998,143.880669800168,137.957623326277,118.111412168524,163.726880957922,133.360981057403,75.2996920451398,58.0612890122632,83.1763771102671,71.1362681967737,12.0401089134934,3.46736850452532,0.954992586021436,14.1253754462275,35.4983804214265,47.6779966888406,75.2996920451398,58.0612890122632,2.31206479017559,NA
"Banksia marginata","E","S","WLAND",36.3078054770101,169.824365246174,19.4984459975805,0.977237220955811,74.7643306297465,95.060034616428,61.6334397485312,108.190925497643,81.2830516164099,37.641231907443,43.6418197089669,123.026877081238,73.7899738132837,49.2369032679545,12.0226443461741,2.34422881531992,10.7151930523761,64.6879397585673,58.3389373226708,37.641231907443,43.6418197089669,1.37089298639213,0.0388472817278212
"Banksia menziesii","E","T","WLAND",38.0189396320561,323.593656929628,18.6208713666287,1.81970085860998,124.892110697401,198.701546232227,125.351428676169,198.242228253459,128.824955169313,60.4683342174758,68.3566209518376,67.6082975391982,43.0008787907203,24.6074187484779,11.461975519794,1.47910838816821,9.77237220955811,41.3995427977142,26.208754741484,60.4683342174758,68.3566209518376,2.58821291515309,NA
"Baptisia leucophaea","U","H","TEMP_FOR",3.46736850452532,93.3254300796991,14.7910838816821,3.38844156139203,68.7148845324703,24.6105455472288,54.4461112887376,38.8793187909615,204.173794466953,173.258254354695,30.9155401122584,199.526231496888,171.240391069138,28.2858404277497,1.99526231496888,0.708133465496963,16.2181009735893,109.646539728071,89.8796917688173,173.258254354695,30.9155401122584,3.38064836205982,NA
"Bellucia grossularioides","U","T","TROP_RF",8.31763771102671,128.824955169313,14.1253754462275,1,81.5092975826805,47.3156575866328,83.732077252342,45.0928779169714,33.8844156139203,25.6742353476855,8.21018026623478,251.188643150958,177.745558845063,73.4430843058952,8.51138038202377,3.46736850452532,17.7827941003892,128.012456268185,123.176186882773,25.6742353476855,8.21018026623478,2.16271852372702,NA
"Bertya cunninghamii","E","S","WLAND",16.2181009735893,169.824365246174,7.07945784384138,1.81970085860998,56.7499458652588,113.074419380916,60.4213348576825,109.403030388492,169.824365246174,73.5295415719292,96.2948236742452,131.825673855641,109.028235754273,22.7974381013672,6.91830970918936,1.54881661891248,22.151588074173,68.2142150081591,63.6114588474816,73.5295415719292,96.2948236742452,3.23593656929628,0.143879857825585
