"sp","site","strata","SLA_LEAF","SLA_DISC","LIFETIME","Amass","Rmass","Amax","N_PCT","P_PCT","LT","LAMTUF","MDRBTUF","VEINTUF","LMA_LEAF","LMA","LL","Aarea","Aarea_DISC","Rarea","Rarea_DISC","sp_site_strata","Narea","Parea","LD","SampleID","Run","BagNo","%NPE","%WS","%AS","Lig","%Ash","%NDF","ADF","site2","cell_mass","cell_area","cell_vol","gr","site_strata","LMAp","LMAs","preLL","LDs"
"CES1","PNSL","CAN",112.2480727,136.8363064,309,171.458931,13.35752065,15.275,1.59,0.09786,0.21,1.978375,12.7547,5.811775,89.0883893100465,73.0800199383341,10.158904109589,15.2749999956124,12.5302220960855,1.18999999988419,0.97616787542871,"CES1_WET_CAN",0.141650539002974,0.00871818977788115,0.348000094944448,NA,2,29,50.73,4.96,23.79,20.42,0.1,49.27,44.31,"WET",23.89,17.458816763268,0.0831372226822287,3,"WET_CAN",44.3187883346941,28.76123160364,6.19680393213167,0.136958245731619
"CES1","PNSL","UNDER",180.3529412,225.7777778,971,38.48571451,0.913487647,2.133911111,1.189,0.07503,NA,NA,NA,NA,55.4468362615203,44.2913385783178,31.9232876712329,2.13391111084359,1.70458381179089,0.0506499999901305,0.0404595906603878,"CES1_WET_UNDER",0.0659262883149476,0.00416017612470187,NA,NA,2,28,37.46,5.31,31.29,25.83,0.11,62.54,57.24,"WET",31.41,13.9119094474496,NA,4,"WET_UNDER",1.21960642144819,43.0717321568696,28.544128789795,NA
"CHRC","PNM","CAN",73.0393627,81.35756601,152.5,82.89967666,3.794394892,11.35,1.702,0.10115,0.31,1.0472,4.1958,5.38985,136.912476099685,122.914198278386,5.01369863013699,11.3499999993839,10.1895472942013,0.519499999963718,0.466385006101782,"CHRC_DRY_CAN",0.233025034321664,0.0138486969574832,0.396497413801244,NA,2,30,55.41,6.62,13.8,24.04,0.13,44.59,37.96,"DRY",13.92,17.1096564003513,0.0551924400011332,1,"DRY_CAN",68.3488568541217,54.5653414242642,11.9269649737809,0.176017230400852
"CHRC","PNM","UNDER",177.7428065,213.9304232,365,139.4984793,6.48583501,7.848333333,1.894,0.13376,0.2,0.7403,3.7549,5.252,56.2610673079476,46.7441696717029,12,7.84833333325363,6.52074058534373,0.364900000045853,0.303174972170111,"CHRC_DRY_UNDER",0.106558461481253,0.00752548036311107,0.233720848358514,NA,2,31,53.69,12.26,15.83,16.95,1.26,46.31,34.05,"DRY",17.1,7.99325301386119,0.0399662650693059,2,"DRY_UNDER",18.5211049744098,28.2230646972931,12.5375985282106,0.141115323486466
"CLU?","PNSL","CAN",58.06658191,66.49771501,421,66.66043603,7.461555775,11.48,1.021,0.0661,0.41625,0.518875,5.061125,NA,172.21609523184,150.381107057531,13.841095890411,11.4799999995385,10.0244701671291,1.28499999992509,1.12207701781601,"CLU?_WET_CAN",0.175832633231709,0.0113834838948246,0.361275932870946,NA,2,32,70.03,11.28,10.9,7.68,0.11,29.97,18.69,"WET",11.01,16.5569598870342,0.0397764802090911,3,"WET_CAN",86.4947907082924,63.8863163492386,15.4021282800298,0.153480639878051
"COCP","PNSL","CAN",108.4053756,126.3764562,445,139.8429345,11.66441841,12.9,2.097,0.09513,0.155,0.6929,3.674975,4.890425,92.2463479753858,79.1286628909286,14.6301369863014,12.8999999977861,11.0655844217287,1.07599999957936,0.922989832183631,"COCP_WET_CAN",0.193440591704384,0.00877539508289845,0.51050750252212,NA,2,33,55.41,8.25,16.95,19.27,0.12,44.59,36.34,"WET",17.07,13.5072627554815,0.0871436306805259,3,"WET_CAN",42.1190324716003,37.0096304193283,8.06878604899057,0.238771809156957
"COMF","PNM","CAN",124.4205919,143.3056316,154,197.5176897,23.63991246,15.875,2.356,0.15729,NA,NA,NA,NA,80.3725480428292,69.7809282744196,5.06301369863014,15.8750000047219,13.7829677378848,1.89999999991963,1.64961503578482,"COMF_DRY_CAN",0.189357723188906,0.0126417980816566,NA,NA,2,34,63.28,13.56,9.92,11.22,2.02,36.72,23.15,"DRY",11.93,8.32486474313826,NA,1,"DRY_CAN",53.6583323070842,16.1225959673354,4.35814101207076,NA
"CORA","PNM","CAN",105.7057487,118.2462252,175,222.510601,7.616099192,21.05,2.566,0.15607,0.243333,0.7111,2.076033333,3.137766667,94.6022342491577,84.5692958323713,5.75342465753425,21.0499999987229,18.8175648418077,0.720499999826405,0.644088145656932,"CORA_DRY_CAN",0.242749333083339,0.014764570699266,0.347545527455673,NA,2,35,54.85,14.84,17.36,12.08,0.87,45.15,30.31,"DRY",18.23,15.4169826302413,0.0633575496551692,1,"DRY_CAN",52.0200795859838,32.5492162463875,5.81976557851695,0.133764085620888
"CORA","PNM","UNDER",303.0459105,402.8590957,243,181.2719621,7.318558738,5.981666667,2.752,0.1433,0.125,0.200833333,0.9584,1.071666667,32.9983004340855,24.8225747084702,7.98904109589041,5.98166666565197,4.49963682177823,0.241499999981026,0.181665471032332,"CORA_DRY_UNDER",0.0908113227946034,0.00472865645220446,0.198580597667762,NA,2,36,47.56,10.25,21.67,17.26,3.26,52.44,42.19,"DRY",24.93,6.18826787482162,0.049506142998573,2,"DRY_UNDER",9.01214316530241,15.8104315431678,7.76861506796611,0.126483452345342
"CORB","PNSL","CAN",85.08030934,95.02157189,289,188.0274836,4.385464545,22.1,1.842,0.093055,0.27,1.196725,4.5094,4.8573,117.536008949353,105.239260949885,9.5013698630137,22.099999995134,19.7878734123307,0.515450000008192,0.461523047637725,"CORB_WET_CAN",0.216501328484709,0.0109373133127821,0.389775040555131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WET",NA,NA,NA,3,"WET_CAN",50.9917955012125,54.2474654486725,8.33053809841614,0.200916538698787
