sp,DE,GF,LL,LMA,Aarea,Rarea,Narea,Parea
Santalum acuminatum,E,T,17.378008287493753,309.0295432513592,7.413102413009175,1.3489628825916535,3.118889584093937,0.19952623149688797
Saxegothaea conspicua,E,T,36.30780547701014,128.82495516931337,5.7543993733715695,0.6165950018614822,1.0375284158180127,NA
Schizachyrium scoparium,U,G,1.6994164595097452,56.96617701651172,16.118595903924252,0.873864476177872,0.703191607026572,NA
Scholtzia involucrata,E,S,23.442288153199225,177.82794100389228,14.791083881682072,1.7782794100389228,2.3120647901755946,NA
Senna artemisioides 1lft,E,S,19.498445997580454,346.73685045253166,12.882495516931343,5.623413251903491,4.4157044735331255,0.1753880501841761
Senna artemisioides 3lft,E,S,20.892961308540396,281.8382931264455,14.12537544622754,3.4673685045253166,3.1117163371060177,0.1527566058238073
Silphium integrifolium,U,H,3.9810717055349722,85.11380382023764,10,1.6595869074375607,1.428893958511103,NA
Silphium terebinthinaceum,U,H,3.019951720402016,75.85775750291836,13.489628825916533,1.318256738556407,1.0839269140212036,NA
Solanum ferocissium,E,S,6.456542290346556,75.85775750291836,9.549925860214358,1.7378008287493754,2.4603676041476272,0.09772372209558107
Solanum straminifolia,U,T,1.9952623149688795,34.673685045253166,13.489628825916533,1.1748975549395295,1.3645831365889245,NA
Solidago rigida,U,H,2.507607017685448,105.407592786826,14.791083881682072,1.3177898513690858,1.4332852733024308,NA
Sorghastrum nutans,U,G,1.9725534573634622,75.22667299395302,22.151588074172963,0.9901914244239454,1.234657178968159,NA
Spartothamnella puberula,E,S,9.549925860214358,93.3254300796991,13.182567385564074,3.715352290971725,2.735268726306712,0.11091748152624012
Stirlingia latifolia,E,S,28.84031503126606,288.40315031266056,16.595869074375607,2.0892961308540396,2.6915348039269156,NA
Syncarpia glomulifera,E,T,22.908676527677734,147.91083881682073,9.120108393559097,0.9120108393559098,1.4621771744567182,0.05942921586155727
Synoum glandulosum,E,T,11.748975549395297,91.20108393559097,6.456542290346556,0.7762471166286917,1.4621771744567182,0.07744617978025188
Taxodium distichum,U,T,6.456542290346556,128.82495516931337,8.31763771102671,1.202264434617413,1.5240527537972912,NA
Tsuga canadensis,E,T,60.25595860743578,123.02687708123811,5.495408738576246,0.3801893963205612,1.2133888504649772,NA
Urera caracasana,D,T,3.019951720402016,67.60829753919819,15.488166189124811,1.9498445997580451,2.564484036517717,NA
Vaccinium arboreum,U,S,10.964781961431852,125.89254117941675,6.456542290346556,0.7943282347242815,1.5100801541641484,NA
Vaccinium corymbosum,U,S,7.5857757502918375,102.32929922807536,6.165950018614822,1.288249551693134,1.2560299636948749,NA
Vaccinium myrtillus,D,S,3.4673685045253166,58.8843655355589,6.165950018614822,0.6165950018614822,1.367728825595849,NA
Veratrum parviflorum,U,H,3.630780547701014,33.884415613920254,4.36515832240166,0.6309573444801932,NA,NA
Verticordia nitens,E,S,18.197008586099834,331.1311214825911,21.379620895022324,1.9952623149688795,3.7239170625456848,NA
Vismia japurensis,U,T,6.918309709189364,95.49925860214358,12.882495516931343,0.8912509381337456,1.5559656316050745,NA
Vismia lauriformis,U,T,4.466835921509632,87.09635899560806,13.803842646028846,0.954992586021436,1.566751070108149,NA
Xanthorrhoea preissii,E,S,23.9883291901949,741.3102413009177,18.197008586099834,2.344228815319922,5.929253245799998,NA
Xylomelum pyriforme,E,T,40.73802778041128,151.35612484362088,10.471285480508996,0.6456542290346555,1.3243415351946646,0.056363765582595426
