Code,Dataset,BIOME,Species,GF,Decid.E.green,Needle.Broad.lf,C3C4,N2.fixer,log.LL,log.LMA,log.Nmass,log.Narea,log.Pmass,log.Parea,log.Amass,log.Aarea,log.Gs,log.Rdmass,log.Rdarea,Ca...Ci
1545,Prior_woodland,TROP_FOR,Melaleuca viridiflora,T,E,B,C3,N,1.01,2.37,-0.114,0.253,-1.432,-1.065,1.79,1.15,NA,NA,NA,NA
1546,Prior_woodland,TROP_FOR,Planchonia careya,T,D,B,C3,N,0.93,2,0.204,0.208,-1.071,-1.066,2,1.01,NA,NA,NA,NA
1547,Prior_woodland,TROP_FOR,Syzygium eucalyptoides ssp bleeseri,T,E,B,C3,N,1.05,2.1,0.064,0.167,-1.194,-1.091,1.82,0.92,NA,NA,NA,NA
1548,Prior_woodland,TROP_FOR,Terminalia ferdinandiana,T,D,B,C3,N,0.68,2.08,0.182,0.263,-1.092,-1.011,2.03,1.11,NA,NA,NA,NA
1549,Prior_woodland,TROP_FOR,Xanthostemon paradoxus,T,E,B,C3,N,1.02,2.14,0.061,0.197,-1.31,-1.173,1.93,1.07,NA,NA,NA,NA
1550,Prior_open forest,TROP_FOR,Brachychiton megaphyllus,T,D,B,C3,N,0.85,1.99,0.305,0.297,-0.896,-0.905,2.03,1.03,NA,NA,NA,NA
1551,Prior_open forest,TROP_FOR,Buchanania obovata,T,E,B,C3,N,1.04,2.21,0.061,0.275,-1.143,-0.928,1.81,1.03,NA,NA,NA,NA
1552,Prior_open forest,TROP_FOR,Erythrophleum chlorostachys,T,E,B,C3,Y,0.98,2,0.358,0.358,-1.092,-1.092,2.04,1.04,NA,NA,NA,NA
1553,Prior_open forest,TROP_FOR,Eucalyptus tetrodonta,T,E,B,C3,N,0.91,2.26,-0.149,0.111,-1.481,-1.222,1.79,1.05,NA,NA,NA,NA
1554,Prior_open forest,TROP_FOR,Planchonia careya,T,D,B,C3,N,0.85,1.92,0.26,0.185,-0.955,-1.03,2.1,1.03,NA,NA,NA,NA
1555,Prior_open forest,TROP_FOR,Syzygium suborbiculare,T,E,B,C3,N,0.98,2.14,0.079,0.222,-1.201,-1.058,1.91,1.05,NA,NA,NA,NA
1556,Prior_open forest,TROP_FOR,Terminalia ferdinandiana,T,D,B,C3,N,0.72,2,0.179,0.183,-1.046,-1.041,1.97,0.97,NA,NA,NA,NA
1557,Prior_open forest,TROP_FOR,Eucalyptus clavigera,T,E,B,C3,N,NA,2.15,0.017,0.163,NA,NA,1.93,1.08,NA,NA,NA,NA
1558,Prior_open forest,TROP_FOR,Eucalyptus miniata,T,E,B,C3,N,NA,2.09,0.23,0.324,NA,NA,2.12,1.22,NA,NA,NA,NA
1559,Prior_swamp,TROP_FOR,Acacia auriculiformis,T,E,B,C3,Y,1,2.02,0.394,0.417,-0.921,-0.899,2.13,1.16,NA,NA,NA,NA
1560,Prior_swamp,TROP_FOR,Lophostemon lactifluus,T,E,B,C3,N,0.94,2.08,-0.018,0.063,-1.31,-1.229,1.83,0.92,NA,NA,NA,NA
1561,Prior_swamp,TROP_FOR,Melaleuca viridiflora,T,E,B,C3,N,0.99,2.36,-0.215,0.142,-1.553,-1.196,1.81,1.15,NA,NA,NA,NA
1562,Prior_dry monsoon forest,TROP_FOR,Ficus racemosa,T,E,B,C3,N,0.78,1.82,0.382,0.2,-0.759,-0.941,2.4,1.21,NA,NA,NA,NA
1563,Prior_dry monsoon forest,TROP_FOR,Ficus scobina,T,E,B,C3,N,0.68,1.92,0.479,0.399,-0.73,-0.81,2.18,1.09,NA,NA,NA,NA
1564,Prior_dry monsoon forest,TROP_FOR,Mallotus nesophilus,T,E,B,C3,N,0.7,1.88,0.35,0.23,-0.833,-0.953,2.24,1.12,NA,NA,NA,NA
1565,Prior_dry monsoon forest,TROP_FOR,Melaleuca leucadendra,T,E,B,C3,N,0.91,2.17,0.021,0.195,-1.086,-0.912,2.11,1.27,NA,NA,NA,NA
1566,Prior_dry monsoon forest,TROP_FOR,Terminalia microcarpa,T,D,B,C3,N,0.85,1.92,0.358,0.279,-0.775,-0.854,2.22,1.12,NA,NA,NA,NA
1567,Prior_dry monsoon forest,TROP_FOR,Wrightia pubescens,T,D,B,C3,N,0.83,1.72,0.511,0.227,-0.785,-1.068,2.26,0.98,NA,NA,NA,NA
1568,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Acantholimon diapensioides,H,,,,,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Achnatherum splendens,G,,,,,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ajania tibetica,S,,,,,NA,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Allium platyspathum,H,,,,,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Allium sp,H,,,,,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia leucotricha,S,,,,,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia pamirica,S,,,,,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Artemisia rhodantha,S,,,,,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Astragalus tibetanus,H,,,,,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex dimorphotheca,G,,,,,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex orbicularis,G,,,,,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Carex pseudofoetida,G,,,,,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Christolea crassifolia,H,,,,,NA,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Comarum salesovianum,S,,,,,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1582,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Corydalis stricta,H,,,,,NA,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Dracocephalum heterophyllum,S,,,,,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1584,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Elymus nutans,G,,B,,,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1585,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ephedra regeliana,S,,,,,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gentiana karelinii,H,,,,,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gentiana leucomelaena,H,,,,,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1588,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Glaux maritima,H,,,,,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1589,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Gypsophila capituliflora,H,,,,,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1590,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Halerpestes sarmentosa,H,,,,,NA,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1591,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Hedysarum minjanense,H,,,,,NA,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1592,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Hordeum turkestanicum,G,,B,,,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1593,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Knorringia pamiricum,H,,,,,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1594,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Kobresia capilliformis,G,,,,,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1595,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Krascheninnikovia ceratoides,S,,,,,NA,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1596,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Leymus pubescens,G,,B,,,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ligularia alpigena,H,,,,,NA,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Lindelofia pterocarpa,H,,,,,NA,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1599,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Lomatocarpa albomarginata,H,,,,,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1600,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Macrotomia euchroma,H,,,,,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Myricaria squamosa,S,,,,,NA,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Oxytropis chiliophylla,H,,,,,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1603,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Oxytropis globiflora,H,,,,,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1604,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Parnassia laxmannii,H,,,,,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1605,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pedicularis ludwigii,H,,,,,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1606,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pentaphylloides dryadanthoides,S,,,,,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Plantago arachnoidea,H,,,,,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1608,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla anserina,H,,B,C3,N,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1609,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla malacotricha,H,,,,,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1610,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla moorcroftii,H,,,,,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1611,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Potentilla multifida,H,,,,,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Primula algida,H,,,,,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1613,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Primula pamirica,H,,,,,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1614,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Pyrethrum djilgense,H,,,,,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1615,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ranunculus krasnovii,H,,,,,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1616,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Ranunculus pseudohirculus,H,,,,,NA,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1617,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Saussurea salsa,H,,,,,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1618,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Scrophularia pamirica,H,,,,,NA,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Senecio krascheninnikovii,H,,,,,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1620,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Serratula procumbens,H,,,,,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1621,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Silene graminifolia,H,,,,,NA,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1622,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Stellaria winkleri,H,,,,,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1623,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Stipa orientalis,G,,,,,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1624,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Suaeda olufsenii,H,,,,,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1625,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Taraxacum dissectum,H,,,,,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1626,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Taraxacum leucantum,H,,,,,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1627,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Viola tianschanica,H,,,,,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1628,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,Zygophyllum rosowii,H,,,,,NA,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1629,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Androsace akbaitalensis,H,,,,,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1630,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Bistorta viviparum,H,,,,,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1631,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Clematis tangutica,S,,,,,NA,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1632,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Draba korshinskyi,H,,,,,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1633,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Draba pamirica,H,,,,,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Dracocephalum paulsenii,H,,,,,NA,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1635,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Erigeron heterochaeta,H,,,,,NA,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1636,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Erigeron poncinsii,H,,,,,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1637,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Lloydia serotina,H,,,,,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1638,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxygraphis glacialis,H,,,,,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1639,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxyria digyna,H,D,B,C3,N,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1640,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Oxytropis incanescens,H,,,,,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1641,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Papaver involucratum,H,,,,,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1642,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Primula macrophylla,H,,,,,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1643,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rheum spiciforme,H,,,,,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1644,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rhodiola gelida,H,,,,,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1645,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Rhodiola pamiroalaica,H,,,,,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1646,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Saxifraga hirculus,H,,,,,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1647,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Sibbaldia tetrandra,H,,,,,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Smelowskia pectinata,H,,,,,NA,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1649,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Swertia marginata,H,,,,,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,Valeriana fedtschenkoi,H,,,,,NA,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1651,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Calamagrostis anthoxanthoides,G,,B,,,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Carex melanantha,G,,,,,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1653,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Carex stenocarpa,G,,,,,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1654,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Chenopodium foliosum,H,,,,,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1655,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Geranium himalayense,H,,,,,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1656,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Leontopodium ochroleucum,H,,,,,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1657,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Lonicera semenovii,S,,,,,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1658,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Potentilla pamirica,H,,,,,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1659,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Ranunculus rufosepalus,H,,,,,NA,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1660,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Rhodiola heterodonta,H,,,,,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1661,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,Sophiopsis annua,H,,,,,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1662,Pyankov_Urals_Yekaterinburg,BOREAL,Impatiens noli-tangere,H,,,,N,NA,1.16,0.6,-0.242,NA,NA,NA,NA,NA,NA,NA,NA
1663,Pyankov_Urals_Yekaterinburg,BOREAL,Capsella bursa-pastoris,H,,,,N,NA,1.39,0.637,0.062,NA,NA,NA,NA,NA,NA,NA,NA
1664,Pyankov_Urals_Yekaterinburg,BOREAL,Lepidium ruderale,H,,,,N,NA,1.7,0.604,0.309,NA,NA,NA,NA,NA,NA,NA,NA
1665,Pyankov_Urals_Yekaterinburg,BOREAL,Thlaspi arvense,H,,,,N,NA,1.61,0.606,0.213,NA,NA,NA,NA,NA,NA,NA,NA
1666,Pyankov_Urals_Yekaterinburg,BOREAL,Spergula arvensis,H,,,,N,NA,1.95,0.471,0.322,NA,NA,NA,NA,NA,NA,NA,NA
1667,Pyankov_Urals_Yekaterinburg,BOREAL,Stellaria media,H,,,,N,NA,1.49,0.597,-0.391,NA,NA,NA,NA,NA,NA,NA,NA
1668,Pyankov_Urals_Yekaterinburg,BOREAL,Chenopodium album,H,,B,C3,N,NA,1.24,0.647,0.15,NA,NA,NA,NA,NA,NA,NA,NA
1669,Pyankov_Urals_Yekaterinburg,BOREAL,Fumaria officinalis,H,,,,N,NA,1.36,0.693,0.056,NA,NA,NA,NA,NA,NA,NA,NA
1670,Pyankov_Urals_Yekaterinburg,BOREAL,Erodium cicutarium,H,,,,N,NA,1.26,0.294,-0.056,NA,NA,NA,NA,NA,NA,NA,NA
1671,Pyankov_Urals_Yekaterinburg,BOREAL,Polygonum aviculare,H,,,,N,NA,1.47,0.691,0.164,NA,NA,NA,NA,NA,NA,NA,NA
1672,Pyankov_Urals_Yekaterinburg,BOREAL,Melampyrum pratense,H,,,,N,NA,1.69,0.52,0.206,NA,NA,NA,NA,NA,NA,NA,NA
1673,Pyankov_Urals_Yekaterinburg,BOREAL,Spergularia rubra,H,,,,N,NA,1.91,0.433,0.342,NA,NA,NA,NA,NA,NA,NA,NA
1674,Pyankov_Urals_Yekaterinburg,BOREAL,Leucanthemum vulgare,H,,,,N,NA,1.48,0.34,-0.032,NA,NA,NA,NA,NA,NA,NA,NA
1675,Pyankov_Urals_Yekaterinburg,BOREAL,Campanula sibirica,H,,,,N,NA,1.93,0.233,0.065,NA,NA,NA,NA,NA,NA,NA,NA
1676,Pyankov_Urals_Yekaterinburg,BOREAL,Hyoscyamus niger,H,,,,N,NA,1.25,0.732,0.283,NA,NA,NA,NA,NA,NA,NA,NA
1677,Pyankov_Urals_Yekaterinburg,BOREAL,Aegopodium podagraria,H,,,,N,NA,1.52,0.611,0.129,NA,NA,NA,NA,NA,NA,NA,NA
1678,Pyankov_Urals_Yekaterinburg,BOREAL,Vincetoxicum hirundinaria,H,,,,N,NA,1.51,0.648,-0.011,NA,NA,NA,NA,NA,NA,NA,NA
1679,Pyankov_Urals_Yekaterinburg,BOREAL,Antennaria dioica,H,,,,N,NA,1.6,0.164,-0.101,NA,NA,NA,NA,NA,NA,NA,NA
1680,Pyankov_Urals_Yekaterinburg,BOREAL,Anthemis tinctoria,H,,,,N,NA,1.88,0.279,0.154,NA,NA,NA,NA,NA,NA,NA,NA
1681,Pyankov_Urals_Yekaterinburg,BOREAL,Arctium tomentosum,H,,,,N,NA,1.3,0.675,0.127,NA,NA,NA,NA,NA,NA,NA,NA
1682,Pyankov_Urals_Yekaterinburg,BOREAL,Artemisia absinthium,H,,,,N,NA,1.38,0.344,0.069,NA,NA,NA,NA,NA,NA,NA,NA
1683,Pyankov_Urals_Yekaterinburg,BOREAL,Artemisia vulgaris,H,,,,N,NA,1.53,0.367,-0.092,NA,NA,NA,NA,NA,NA,NA,NA
1684,Pyankov_Urals_Yekaterinburg,BOREAL,Aster amellus,H,,,,N,NA,1.99,0.324,0.315,NA,NA,NA,NA,NA,NA,NA,NA
1685,Pyankov_Urals_Yekaterinburg,BOREAL,Cacalia hastata,H,,,,N,NA,1.27,0.613,-0.046,NA,NA,NA,NA,NA,NA,NA,NA
1686,Pyankov_Urals_Yekaterinburg,BOREAL,Cirsium arvense,H,,,,N,NA,1.58,0.288,0.034,NA,NA,NA,NA,NA,NA,NA,NA
1687,Pyankov_Urals_Yekaterinburg,BOREAL,Echinops ritro,H,D,B,C3,N,NA,2.08,0.162,0.254,NA,NA,NA,NA,NA,NA,NA,NA
1688,Pyankov_Urals_Yekaterinburg,BOREAL,Inula hirta,H,,,,N,NA,1.67,0.45,0.249,NA,NA,NA,NA,NA,NA,NA,NA
1689,Pyankov_Urals_Yekaterinburg,BOREAL,Tanacetum vulgare,H,,B,C3,N,NA,1.63,0.381,0.097,NA,NA,NA,NA,NA,NA,NA,NA
1690,Pyankov_Urals_Yekaterinburg,BOREAL,Myosotis palustris,H,,,,N,NA,1.4,0.338,-0.387,NA,NA,NA,NA,NA,NA,NA,NA
1691,Pyankov_Urals_Yekaterinburg,BOREAL,Onobrychis arenaria,H,,,,N,NA,2.05,0.449,0.186,NA,NA,NA,NA,NA,NA,NA,NA
1692,Pyankov_Urals_Yekaterinburg,BOREAL,Bunias orientalis,H,,,,N,NA,1.62,0.713,0.33,NA,NA,NA,NA,NA,NA,NA,NA
1693,Pyankov_Urals_Yekaterinburg,BOREAL,Dianthus acicularis,H,,,,N,NA,1.85,0.326,-0.277,NA,NA,NA,NA,NA,NA,NA,NA
1694,Pyankov_Urals_Yekaterinburg,BOREAL,Dianthus versicolor,H,,,,N,NA,1.75,0.313,0.165,NA,NA,NA,NA,NA,NA,NA,NA
1695,Pyankov_Urals_Yekaterinburg,BOREAL,Sedum acre,H,,,,N,NA,2.3,0.181,0.482,NA,NA,NA,NA,NA,NA,NA,NA
1696,Pyankov_Urals_Yekaterinburg,BOREAL,Sedum purpureum,H,,,,N,NA,1.81,0.396,0.828,NA,NA,NA,NA,NA,NA,NA,NA
1697,Pyankov_Urals_Yekaterinburg,BOREAL,Knautia arvensis,H,,,,N,NA,1.59,0.332,-0.071,NA,NA,NA,NA,NA,NA,NA,NA
1698,Pyankov_Urals_Yekaterinburg,BOREAL,Lathyrus vernus,H,,,,Y,NA,1.3,0.653,0.105,NA,NA,NA,NA,NA,NA,NA,NA
1699,Pyankov_Urals_Yekaterinburg,BOREAL,Lupinus polyphyllus,H,,,,Y,NA,1.5,0.474,-0.023,NA,NA,NA,NA,NA,NA,NA,NA
1700,Pyankov_Urals_Yekaterinburg,BOREAL,Origanum vulgare,H,,,,Y,NA,1.69,0.25,0.001,NA,NA,NA,NA,NA,NA,NA,NA
1701,Pyankov_Urals_Yekaterinburg,BOREAL,Trifolium pratense,H,,B,C3,Y,NA,1.59,0.568,0.207,NA,NA,NA,NA,NA,NA,NA,NA
1702,Pyankov_Urals_Yekaterinburg,BOREAL,Trifolium repens,H,,B,C3,Y,NA,1.55,0.559,0.111,NA,NA,NA,NA,NA,NA,NA,NA
1703,Pyankov_Urals_Yekaterinburg,BOREAL,Herniaria glabra,H,,,,N,NA,2.04,0.316,0.421,NA,NA,NA,NA,NA,NA,NA,NA
1704,Pyankov_Urals_Yekaterinburg,BOREAL,Betonica officinalis,H,,,,N,NA,1.51,0.408,0.027,NA,NA,NA,NA,NA,NA,NA,NA
1705,Pyankov_Urals_Yekaterinburg,BOREAL,Glechoma hederaceae,H,,,,N,NA,1.34,0.719,0.056,NA,NA,NA,NA,NA,NA,NA,NA
